#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_e         linf_rho         linf_rho_v1      linf_rho_e       dsdu_ut          e_kinetic        e_total          entropy          pressure      
        0  0.00000000e+00  1.00000000e+00   8.69552378e-05   8.69552378e-06   4.34776188e-07   1.78328244e-04   1.78328244e-05   8.91641214e-07  -2.75821033e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      100  4.16214995e-03  4.15959045e-05   8.84633146e-05   8.84633146e-06   4.42316577e-07   1.90115389e-04   1.90115389e-05   9.50576677e-07   3.12250226e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      200  8.31937206e-03  4.15501987e-05   9.28337618e-05   9.28337618e-06   4.64168807e-07   2.06756637e-04   2.06756637e-05   1.03378375e-06   3.71230824e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      300  1.24723888e-02  4.15117278e-05   9.96823092e-05   9.96823092e-06   4.98411544e-07   3.11661587e-04   3.11661587e-05   1.55830878e-06   6.19296281e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      400  1.66219247e-02  4.14805148e-05   1.08534461e-04   1.08534461e-05   5.42672295e-07   4.17538836e-04   4.17538836e-05   2.08769516e-06  -1.38777878e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      500  2.07687069e-02  4.14565847e-05   1.18939112e-04   1.18939112e-05   5.94695556e-07   5.24355158e-04   5.24355158e-05   2.62177717e-06   2.58473798e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      600  2.49134651e-02  4.14399643e-05   1.30522471e-04   1.30522471e-05   6.52612360e-07   6.32077940e-04   6.32077940e-05   3.16039137e-06   8.50014503e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      700  2.90569315e-02  4.14306829e-05   1.42996624e-04   1.42996624e-05   7.14983136e-07   7.40675113e-04   7.40675113e-05   3.70337781e-06   6.59194921e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      800  3.31998417e-02  4.14287718e-05   1.56147534e-04   1.56147534e-05   7.80737677e-07   8.50115083e-04   8.50115083e-05   4.25057791e-06   1.73472348e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      900  3.73429344e-02  4.14342646e-05   1.69818228e-04   1.69818228e-05   8.49091138e-07   9.60366664e-04   9.60366664e-05   4.80183581e-06   3.00107161e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1000  4.14869518e-02  4.14471972e-05   1.83893729e-04   1.83893729e-05   9.19468642e-07   1.07139900e-03   1.07139900e-04   5.35699798e-06   2.51534904e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1100  4.56326398e-02  4.14676081e-05   1.98289351e-04   1.98289351e-05   9.91446766e-07   1.18318151e-03   1.18318151e-04   5.91591077e-06   1.56125113e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1200  4.97807483e-02  4.14955379e-05   2.12942170e-04   2.12942170e-05   1.06471086e-06   1.29568378e-03   1.29568378e-04   6.47842263e-06  -8.15320034e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1300  5.39320312e-02  4.15310300e-05   2.27804948e-04   2.27804948e-05   1.13902473e-06   1.40887555e-03   1.40887555e-04   7.04438128e-06   8.67361738e-18   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1400  5.80872472e-02  4.15741301e-05   2.42841846e-04   2.42841846e-05   1.21420922e-06   1.52272656e-03   1.52272656e-04   7.61363696e-06  -4.64905892e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1500  6.22471594e-02  4.16248868e-05   2.58025387e-04   2.58025387e-05   1.29012693e-06   1.63720653e-03   1.63720653e-04   8.18603701e-06   4.61436445e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1600  6.64125361e-02  4.16833513e-05   2.73334294e-04   2.73334294e-05   1.36667147e-06   1.75228507e-03   1.75228507e-04   8.76142990e-06  -1.83880688e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1700  7.05841507e-02  4.17495773e-05   2.88751938e-04   2.88751938e-05   1.44375969e-06   1.86793160e-03   1.86793160e-04   9.33966276e-06   2.09901541e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1800  7.47627823e-02  4.18236216e-05   3.04265200e-04   3.04265200e-05   1.52132603e-06   1.98411523e-03   1.98411523e-04   9.92058171e-06   2.72351586e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1900  7.89492156e-02  4.19055437e-05   3.19863645e-04   3.19863645e-05   1.59931826e-06   2.10080475e-03   2.10080475e-04   1.05040296e-05  -1.37043155e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2000  8.31442416e-02  4.19954060e-05   3.35538895e-04   3.35538895e-05   1.67769448e-06   2.21796847e-03   2.21796847e-04   1.10898482e-05  -2.22044605e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2100  8.73486576e-02  4.20932737e-05   3.51284167e-04   3.51284167e-05   1.75642086e-06   2.33557418e-03   2.33557418e-04   1.16778773e-05   3.01841885e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2200  9.15632674e-02  4.21992153e-05   3.67093913e-04   3.67093913e-05   1.83546958e-06   2.45358903e-03   2.45358903e-04   1.22679517e-05   1.21430643e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2300  9.57888821e-02  4.23133020e-05   3.82963545e-04   3.82963545e-05   1.91481774e-06   2.57197946e-03   2.57197946e-04   1.28599041e-05   6.24500451e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2400  1.00026320e-01  4.24356082e-05   3.98889222e-04   3.98889222e-05   1.99444610e-06   2.69071108e-03   2.69071108e-04   1.34535617e-05   2.77555756e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2500  1.04276407e-01  4.25662114e-05   4.14867683e-04   4.14867683e-05   2.07433845e-06   2.80974859e-03   2.80974859e-04   1.40487504e-05  -4.16333634e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2600  1.08539976e-01  4.27051924e-05   4.30896108e-04   4.30896108e-05   2.15448054e-06   2.92905567e-03   2.92905567e-04   1.46452855e-05   8.32667268e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2700  1.12817871e-01  4.28526348e-05   4.46972012e-04   4.46972012e-05   2.23486008e-06   3.04859487e-03   3.04859487e-04   1.52429822e-05   1.73472348e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2800  1.17110940e-01  4.30086259e-05   4.63093157e-04   4.63093157e-05   2.31546578e-06   3.16832751e-03   3.16832751e-04   1.58416455e-05   3.60822483e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2900  1.21420044e-01  4.31732559e-05   4.79257480e-04   4.79257480e-05   2.39628740e-06   3.28821356e-03   3.28821356e-04   1.64410766e-05  -2.53269627e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3000  1.25746051e-01  4.33466183e-05   4.95463032e-04   4.95463032e-05   2.47731516e-06   3.40821152e-03   3.40821152e-04   1.70410664e-05   1.87350135e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3100  1.30089840e-01  4.35288100e-05   5.11707930e-04   5.11707930e-05   2.55853966e-06   3.52827831e-03   3.52827831e-04   1.76414008e-05   4.85722573e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3200  1.34452298e-01  4.37199311e-05   5.27990312e-04   5.27990312e-05   2.63995161e-06   3.64836913e-03   3.64836913e-04   1.82418552e-05   0.00000000e+00   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3300  1.38834323e-01  4.39200853e-05   5.44308303e-04   5.44308303e-05   2.72154149e-06   3.76843734e-03   3.76843734e-04   1.88421958e-05   1.28369537e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3400  1.43236824e-01  4.41293792e-05   5.60659982e-04   5.60659982e-05   2.80329993e-06   3.88843433e-03   3.88843433e-04   1.94421814e-05  -4.51028104e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3500  1.47660721e-01  4.43479231e-05   5.77043359e-04   5.77043359e-05   2.88521677e-06   4.00830936e-03   4.00830936e-04   2.00415568e-05   3.83373888e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3600  1.52106944e-01  4.45758304e-05   5.93456350e-04   5.93456350e-05   2.96728177e-06   4.12800945e-03   4.12800945e-04   2.06400578e-05   2.94902991e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3700  1.56576436e-01  4.48132180e-05   6.09896754e-04   6.09896754e-05   3.04948377e-06   4.24747918e-03   4.24747918e-04   2.12374064e-05  -1.59594560e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3800  1.61070150e-01  4.50602060e-05   6.26362241e-04   6.26362241e-05   3.13181124e-06   4.36666058e-03   4.36666058e-04   2.18333139e-05  -2.06432094e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3900  1.65589053e-01  4.53169177e-05   6.42850333e-04   6.42850333e-05   3.21425171e-06   4.48549293e-03   4.48549293e-04   2.24274764e-05  -5.55111512e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     4000  1.70134123e-01  4.55834799e-05   6.59358395e-04   6.59358395e-05   3.29679201e-06   4.60391262e-03   4.60391262e-04   2.30195746e-05  -2.67147415e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     4100  1.74706353e-01  4.58600223e-05   6.75883617e-04   6.75883617e-05   3.37941810e-06   4.72185298e-03   4.72185298e-04   2.36092769e-05   7.63278329e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     4200  1.79306747e-01  4.61466780e-05   6.92423011e-04   6.92423011e-05   3.46211505e-06   4.83924405e-03   4.83924405e-04   2.41962317e-05   2.63677968e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
