#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_theta     linf_rho         linf_rho_v1      linf_rho_theta   dsdu_ut          energy_kinetic   entropy          entropy_phys     pressurecompute
        0  0.00000000e+00  1.00000000e+00   8.69552378e-05   8.69552378e-06   9.12516142e-17   1.78328244e-04   1.78328244e-05   1.11022302e-16   1.24032729e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
      100  4.16173673e-03  4.15917772e-05   8.84630177e-05   8.84630177e-06   1.17653061e-16   1.90114219e-04   1.90114219e-05   6.66133815e-16  -1.23165367e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
      200  8.31854653e-03  4.15460794e-05   9.28326322e-05   9.28326322e-06   1.17653061e-16   2.06735893e-04   2.06735893e-05   6.66133815e-16   4.51028104e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
      300  1.24711516e-02  4.15076143e-05   9.96799458e-05   9.96799458e-06   9.19298421e-17   3.11630176e-04   3.11630176e-05   1.11022302e-16   5.20417043e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
      400  1.66202764e-02  4.14764050e-05   1.08530607e-04   1.08530607e-05   9.19298421e-17   4.17496575e-04   4.17496575e-05   1.11022302e-16  -1.16226473e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
      500  2.07666478e-02  4.14524763e-05   1.18933624e-04   1.18933624e-05   1.12551544e-16   5.24301874e-04   5.24301874e-05   6.66133815e-16   2.51534904e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
      600  2.49109950e-02  4.14358552e-05   1.30515277e-04   1.30515277e-05   1.05565045e-16   6.32013468e-04   6.32013468e-05   6.66133815e-16   3.20923843e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
      700  2.90540504e-02  4.14265709e-05   1.42987694e-04   1.42987694e-05   1.05565045e-16   7.40599298e-04   7.40599298e-05   6.66133815e-16   8.23993651e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
      800  3.31965492e-02  4.14246547e-05   1.56136858e-04   1.56136858e-05   1.15448759e-16   8.50027781e-04   8.50027781e-05   6.66133815e-16  -2.16840434e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
      900  3.73392299e-02  4.14301402e-05   1.69805810e-04   1.69805810e-05   9.44336906e-17   9.60267736e-04   9.60267736e-05   3.33066907e-16  -2.08166817e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     1000  4.14828344e-02  4.14430632e-05   1.83879575e-04   1.83879575e-05   1.30272540e-16   1.07128832e-03   1.07128832e-04   9.99200722e-16   5.81132364e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     1100  4.56281084e-02  4.14634622e-05   1.98273470e-04   1.98273470e-05   1.39843512e-16   1.18305896e-03   1.18305896e-04   9.99200722e-16  -9.54097912e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     1200  4.97758015e-02  4.14913779e-05   2.12924569e-04   2.12924569e-05   1.49306326e-16   1.29554925e-03   1.29554925e-04   9.99200722e-16  -4.85722573e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     1300  5.39266677e-02  4.15268535e-05   2.27785635e-04   2.27785635e-05   1.66544537e-16   1.40872894e-03   1.40872893e-04   1.33226763e-15   2.25514052e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     1400  5.80814651e-02  4.15699349e-05   2.42820826e-04   2.42820825e-05   1.70932481e-16   1.52256777e-03   1.52256777e-04   1.33226763e-15  -8.67361738e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     1500  6.22409567e-02  4.16206705e-05   2.58002663e-04   2.58002663e-05   2.56204726e-16   1.63703549e-03   1.63703549e-04   1.33226763e-15   3.46944695e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     1600  6.64059106e-02  4.16791114e-05   2.73309871e-04   2.73309871e-05   3.18606873e-16   1.75210170e-03   1.75210170e-04   1.22124533e-15  -1.24900090e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     1700  7.05771000e-02  4.17453116e-05   2.88725816e-04   2.88725816e-05   4.15584727e-16   1.86773583e-03   1.86773583e-04   2.99760217e-15  -1.56125113e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
