#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_v2        l2_rho_v3        l2_rho_e         linf_rho         linf_rho_v1      linf_rho_v2      linf_rho_v3      linf_rho_e       dsdu_ut          e_kinetic        e_total          entropy          pressure      
        0  0.00000000e+00  1.00000000e+00   9.86937119e-17   1.20740255e-03   1.20740255e-03   0.00000000e+00   2.76257214e-03   4.44089210e-16   5.47778806e-03   5.47778806e-03   0.00000000e+00   1.52892066e-02   4.48250962e-18   1.25000000e-01   1.78696429e+02  -1.06717404e+01   7.14285714e+01
      100  1.22616741e-02  1.22614650e-04   7.10750848e-05   1.40881830e-03   1.40881830e-03   1.09608741e-03   1.77297780e-02   3.32769734e-04   5.77645151e-03   5.77645151e-03   3.08746149e-03   8.68613454e-02   1.06418635e-16   1.24999500e-01   1.78696429e+02  -1.06717404e+01   7.14285716e+01
      200  2.45226482e-02  1.22602404e-04   1.30146360e-04   1.95068986e-03   1.95068986e-03   2.19608134e-03   3.17251190e-02   6.55219039e-04   6.20120439e-03   6.20120439e-03   6.32393944e-03   1.67730080e-01   1.17678724e-16   1.24998440e-01   1.78696429e+02  -1.06717404e+01   7.14285721e+01
      300  3.67819998e-02  1.22584752e-04   1.72485299e-04   2.70127805e-03   2.70127805e-03   3.30097179e-03   4.07677547e-02   8.71240841e-04   8.94613857e-03   8.94613857e-03   9.63571833e-03   2.23476386e-01  -2.45214752e-17   1.24997693e-01   1.78696429e+02  -1.06717404e+01   7.14285724e+01
      400  4.90396218e-02  1.22568301e-04   2.02364136e-04   3.52483986e-03   3.52483986e-03   4.40839569e-03   4.56445388e-02   9.01458868e-04   1.33287659e-02   1.33287659e-02   1.29695184e-02   2.33173570e-01  -4.90485778e-17   1.24997744e-01   1.78696429e+02  -1.06717404e+01   7.14285723e+01
      500  6.12957794e-02  1.22555839e-04   2.26126991e-04   4.32734114e-03   4.32734114e-03   5.51435307e-03   4.82144480e-02   7.32268683e-04   1.62962389e-02   1.62962389e-02   1.63720594e-02   1.89974859e-01   4.25971325e-17   1.24998418e-01   1.78696429e+02  -1.06717404e+01   7.14285721e+01
      600  7.35509815e-02  1.22549380e-04   2.42881240e-04   5.08267698e-03   5.08267698e-03   6.61518222e-03   4.89240416e-02   7.93133686e-04   1.71883984e-02   1.71883984e-02   1.96340024e-02   1.45794245e-01   3.85265152e-17   1.24999301e-01   1.78696429e+02  -1.06717404e+01   7.14285717e+01
      700  8.58058818e-02  1.22549752e-04   2.44625463e-04   5.81637308e-03   5.81637308e-03   7.70822190e-03   4.63085040e-02   9.07494065e-04   1.90589321e-02   1.90589321e-02   2.27009774e-02   1.64013309e-01   4.28502074e-17   1.25000202e-01   1.78696429e+02  -1.06717404e+01   7.14285713e+01
      800  9.80611389e-02  1.22556165e-04   2.24344104e-04   6.55888998e-03   6.55888998e-03   8.79150221e-03   3.90824420e-02   8.51328406e-04   2.17166785e-02   2.17166785e-02   2.56156448e-02   1.42292215e-01   3.32782414e-18   1.25001146e-01   1.78696429e+02  -1.06717404e+01   7.14285710e+01
      900  1.10317234e-01  1.22565844e-04   1.82229715e-04   7.31206863e-03   7.31206863e-03   9.86374449e-03   2.87377676e-02   6.46944567e-04   2.42050306e-02   2.42050306e-02   2.84965347e-02   1.46675454e-01  -1.42439916e-17   1.25002062e-01   1.78696429e+02  -1.06717404e+01   7.14285706e+01
