#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_v2        l2_rho_v3        l2_rho_theta     linf_rho         linf_rho_v1      linf_rho_v2      linf_rho_v3      linf_rho_theta   dsdu_ut          energy_kinetic   entropy          entropy_phys     pressurecompute
        0  0.00000000e+00  1.00000000e+00   9.86937119e-17   1.20740255e-03   1.20740255e-03   0.00000000e+00   1.95691043e-05   4.44089210e-16   5.47778806e-03   5.47778806e-03   0.00000000e+00   8.78109345e-05  -3.07831855e-16   1.25000000e-01   1.78536441e+02  -1.06638060e+01   7.14143426e+01
      100  1.22611225e-01  1.22675024e-03   6.07507645e-04   5.64178883e-03   5.64178883e-03   5.25773159e-03   2.31685088e-03   1.72569210e-03   1.36626695e-02   1.36626695e-02   1.48427456e-02   6.65377864e-03  -3.07718210e-16   1.25088964e-01   1.78536441e+02  -1.06638081e+01   7.14143070e+01
      200  2.45213609e-01  1.22546292e-03   3.21083647e-04   8.64560766e-03   8.64560766e-03   1.18186424e-02   1.08705521e-03   9.00275791e-04   2.92506796e-02   2.92506796e-02   3.48740818e-02   2.57427103e-03   2.33304546e-16   1.25054878e-01   1.78536441e+02  -1.06638071e+01   7.14143207e+01
      300  3.67743877e-01  1.22535103e-03   2.98862391e-04   1.33044663e-02   1.33044663e-02   1.53366626e-02   9.42582496e-04   1.38931541e-03   3.62750913e-02   3.62750913e-02   4.56675269e-02   4.07182584e-03  -1.57857602e-15   1.25041051e-01   1.78536441e+02  -1.06638067e+01   7.14143262e+01
      400  4.90260521e-01  1.22471024e-03   6.89184193e-04   1.48610552e-02   1.48610552e-02   2.33436969e-02   2.46111621e-03   1.90901554e-03   5.09924316e-02   5.09924316e-02   6.83137424e-02   6.02309363e-03  -2.11549538e-15   1.25083991e-01   1.78536441e+02  -1.06638081e+01   7.14143090e+01
      500  6.12746125e-01  1.22433737e-03   2.47753639e-04   2.08499817e-02   2.08499817e-02   2.58467427e-02   6.74675728e-04   1.16210122e-03   6.91407322e-02   6.91407322e-02   7.66218422e-02   2.41508190e-03   1.78392780e-15   1.25013326e-01   1.78536441e+02  -1.06638061e+01   7.14143373e+01
      600  7.35158227e-01  1.22402655e-03   6.11153934e-04   2.28547358e-02   2.28547358e-02   3.43287186e-02   1.86698611e-03   2.12752623e-03   6.76727260e-02   6.76727260e-02   1.00189801e-01   5.14951334e-03   1.01427212e-15   1.25079075e-01   1.78536441e+02  -1.06638077e+01   7.14143110e+01
      700  8.57591852e-01  1.22401532e-03   4.72058343e-04   2.88195072e-02   2.88195072e-02   3.66928065e-02   1.72032014e-03   1.68611254e-03   9.45136672e-02   9.45136672e-02   1.07554696e-01   4.33679378e-03   8.41100637e-16   1.25072665e-01   1.78536441e+02  -1.06638073e+01   7.14143135e+01
      800  9.79924279e-01  1.22353148e-03   5.56725146e-04   3.06780657e-02   3.06780657e-02   4.47347947e-02   8.04581574e-04   2.24287827e-03   9.24806572e-02   9.24806572e-02   1.31248927e-01   3.18307484e-03   1.16272879e-16   1.25020577e-01   1.78536441e+02  -1.06638064e+01   7.14143344e+01
      900  1.10226040e+00  1.22346570e-03   7.33079197e-04   3.59662364e-02   3.59662364e-02   4.78435782e-02   2.53236632e-03   2.50029860e-03   1.05901465e-01   1.05901465e-01   1.41452876e-01   5.46865230e-03  -2.08778039e-15   1.25080861e-01   1.78536441e+02  -1.06638077e+01   7.14143103e+01
     1000  1.22453088e+00  1.22271675e-03   6.60763349e-04   3.90528645e-02   3.90528645e-02   5.46413020e-02   1.01435104e-03   2.79913295e-03   1.22854526e-01   1.22854526e-01   1.63544223e-01   4.18573496e-03   1.11780208e-15   1.25036935e-01   1.78536441e+02  -1.06638067e+01   7.14143278e+01
     1100  1.34675669e+00  1.22183443e-03   6.64586437e-04   4.34726636e-02   4.34726636e-02   5.91402004e-02   1.29758147e-03   2.77244177e-03   1.16196007e-01   1.16196007e-01   1.77074438e-01   3.17735481e-03   7.68501770e-16   1.25061165e-01   1.78536441e+02  -1.06638069e+01   7.14143181e+01
     1200  1.46894564e+00  1.22153923e-03   8.37325750e-04   4.73197384e-02   4.73197384e-02   6.42110488e-02   2.30855326e-03   3.41446044e-03   1.40410309e-01   1.40410309e-01   1.95286271e-01   7.02406256e-03  -1.73363800e-15   1.25088724e-01   1.78536441e+02  -1.06638077e+01   7.14143071e+01
     1300  1.59107831e+00  1.22024536e-03   7.16584230e-04   5.05038615e-02   5.05038615e-02   7.02410066e-02   2.71593732e-04   3.44590673e-03   1.34194932e-01   1.34194932e-01   2.14685989e-01   9.75619797e-04   3.20509206e-16   1.25007451e-01   1.78536441e+02  -1.06638058e+01   7.14143396e+01
     1400  1.71315184e+00  1.22056889e-03   8.83447681e-04   5.54596821e-02   5.54596821e-02   7.36783699e-02   2.45768969e-03   3.82234522e-03   1.44305094e-01   1.44305094e-01   2.27401836e-01   6.88338153e-03   6.24074626e-17   1.25089485e-01   1.78536441e+02  -1.06638075e+01   7.14143068e+01
     1500  1.83518731e+00  1.21959748e-03   7.92536545e-04   5.79952036e-02   5.79952036e-02   8.08282014e-02   1.17085341e-03   4.15606416e-03   1.50335767e-01   1.50335767e-01   2.51035824e-01   3.54736038e-03   9.18301185e-16   1.25056959e-01   1.78536441e+02  -1.06638066e+01   7.14143198e+01
     1600  1.95713787e+00  1.21955640e-03   8.08327544e-04   6.35398596e-02   6.35398596e-02   8.31886023e-02   1.01103473e-03   4.06514936e-03   1.51678292e-01   1.51678292e-01   2.61324812e-01   3.35110425e-03   5.80035643e-17   1.25049518e-01   1.78536441e+02  -1.06638063e+01   7.14143228e+01
     1700  2.07904408e+00  1.21900348e-03   1.01395376e-03   6.53617576e-02   6.53617576e-02   9.07688969e-02   2.61865671e-03   4.28384859e-03   1.63126542e-01   1.63126542e-01   2.85485084e-01   7.98410946e-03   1.30962593e-15   1.25085485e-01   1.78536441e+02  -1.06638074e+01   7.14143084e+01
     1800  2.20089206e+00  1.21828980e-03   8.61983365e-04   7.10929469e-02   7.10929469e-02   9.28122387e-02   5.71438681e-04   4.02190241e-03   1.79430519e-01   1.79430519e-01   2.98605659e-01   1.76002909e-03   8.97569142e-16   1.25019589e-01   1.78536441e+02  -1.06638057e+01   7.14143348e+01
     1900  2.32266364e+00  1.21767951e-03   1.05397992e-03   7.31860506e-02   7.31860506e-02   1.00073930e-01   2.13224437e-03   4.83571561e-03   1.82918726e-01   1.82918726e-01   3.23066871e-01   7.57046798e-03   1.39698095e-15   1.25083059e-01   1.78536441e+02  -1.06638072e+01   7.14143094e+01
     2000  2.44442372e+00  1.21711538e-03   9.31017559e-04   7.84079573e-02   7.84079573e-02   1.02545458e-01   1.78084267e-03   4.29039959e-03   2.07394861e-01   2.07394861e-01   3.37749354e-01   4.49983392e-03   7.24939652e-17   1.25075925e-01   1.78536441e+02  -1.06638066e+01   7.14143122e+01
